AlgaeGroup,OrganismCode,FinalID,AlgaeList,Habit,Heterocystous,IndicatorClass_Cu,IndicatorClass_DOC,IndicatorClass_Ref,IndicatorClass_TN,IndicatorClass_TP,Motility,NitrogenUptakeMetabolism,OxygenRequirements,Salinity,Saprobity,TaxonomicGroup,TrophicState,Zygnemataceae,Phylum,Class,Order,Family,Genus
SoftAlgae,-1037826677,Kirchneriella lunaris,SoftAlgae_2012,NA,No,NA,NI,NI,NI,NI,NA,NA,NA,NA,NA,CL,NA,No,Chlorophyta,Chlorophyceae,Sphaeropleales,Ankistrodesmaceae,Kirchneriella
Diatom,-1035107691,Fallacia subforcipata,Diatom_2012,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,Heterokontophyta,Bacillariophyceae,Naviculales,Sellaphoraceae,Fallacia
Diatom,-1034694254,Navicula sp 1,Diatom_2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Heterokontophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
SoftAlgae,-1032540659,Hydrurus cf foetidus,SoftAlgae_2012,NA,No,NA,NI,NI,NI,NI,NA,NA,NA,NA,NA,OC,NA,No,Heterokontophyta,Chrysophyceae,Hydrurales,Hydruraceae,Hydrurus
Diatom,-1029187466,Navicula symmetrica,Diatom_2012,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,Heterokontophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Diatom,-1028928527,Nitzschia paleacea,Diatom_2012,BN,NA,NA,NA,NA,NA,NA,HM,NHHONO,DO_50,FB,AM,NA,E,NA,Heterokontophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia
Diatom,-1028631237,Caloneis permagna,Diatom_2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Heterokontophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Caloneis
SoftAlgae,-1027048611,Spirogyra cf scrobiculata,SoftAlgae_2012,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CA,NA,Yes,Streptophyta,Zygnematophyceae,Zygnematales,Zygnemataceae,Spirogyra
SoftAlgae,-1026810034,Leptolyngbya foveolarum,SoftAlgae_2012,NA,No,NI,high,NI,NI,NI,NA,NA,NA,NA,NA,CB,NA,No,Cyanobacteria,Cyanophyceae,Pseudanabaenales,Pseudanabaenaceae,Leptolyngbya
Diatom,-1026573454,Nitzschia bryophila,Diatom_2012,BN,NA,NA,NA,NA,NA,NA,HM,NALON,DO_100,F,OS,NA,NA,NA,Heterokontophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia
SoftAlgae,-1026442799,Bumilleriopsis sp 1,SoftAlgae_2012,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OC,NA,No,Heterokontophyta,Xanthophyceae,Mischococcales,Centritactaceae,Bumilleriopsis
SoftAlgae,-1024709072,Dinobryon,SoftAlgae_2012,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OC,NA,No,Heterokontophyta,Chrysophyceae,Chromulinales,Dinobryaceae,Dinobryon
Diatom,-1023976872,Diatoma,Diatom_2012,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,Heterokontophyta,Fragilariophyceae,Fragilariales,Fragilariaceae,Diatoma
SoftAlgae,-1023332747,Scenedesmus brevispina,SoftAlgae_2012,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CL,NA,No,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus
SoftAlgae,-1022730692,Stigonema cf mamillosum,SoftAlgae_2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cyanobacteria,Cyanophyceae,Nostocales,Stigonemataceae,Stigonema
Diatom,-1022002241,Achnanthidium biasolettianum,Diatom_2012,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,FB,NA,NA,M,NA,Heterokontophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium
SoftAlgae,-1021954844,Radiococcus cf planktonicus,SoftAlgae_2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chlorophyta,Chlorophyceae,Sphaeropleales,Radiococcaceae,Radiococcus
SoftAlgae,-1021607206,Ceratium hirundinella,SoftAlgae_2012,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DF,NA,No,Dinoflagellata,Dinophyceae,Gonyaulacales,Ceratiaceae,Ceratium
Diatom,-1021212209,Fallacia omissa,Diatom_2012,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,Heterokontophyta,Bacillariophyceae,Naviculales,Sellaphoraceae,Fallacia
SoftAlgae,-1020681034,Schizothrix cf arenaria,SoftAlgae_2012,NA,No,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,CB,NA,No,Cyanobacteria,Cyanophyceae,Oscillatoriales,Schizotrichaceae,Schizothrix
Diatom,-1020225808,Nitzschia calica,Diatom_2012,BN,NA,NA,NA,NA,NA,NA,HM,NA,NA,NA,NA,NA,NA,NA,Heterokontophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia
SoftAlgae,-1018266232,Kirchneriella cf obesa,SoftAlgae_2012,NA,No,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,CL,NA,No,Chlorophyta,Chlorophyceae,Sphaeropleales,Ankistrodesmaceae,Kirchneriella
SoftAlgae,-1018116122,Lobomonas sp 1,SoftAlgae_2012,NA,No,NA,NI,NI,NI,NI,NA,NA,NA,NA,NA,CL,NA,No,Chlorophyta,Chlorophyceae,Volvocales,Chlamydomonadaceae,Lobomonas
SoftAlgae,-1017730136,Microcoleus sp 1,SoftAlgae_2012,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CB,NA,No,Cyanobacteria,Cyanophyceae,Oscillatoriales,Phormidiaceae,Microcoleus
SoftAlgae,-1017536338,Chlorophyta 16,SoftAlgae_2012,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CL,NA,No,Chlorophyta,,,,
SoftAlgae,-1017097505,Chlorophyta 1,SoftAlgae_2012,NA,No,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,CL,NA,No,Chlorophyta,,,,
Diatom,-1017060948,Nitzschia cf wuellerstorffii DWB,Diatom_2012,BN,NA,NA,NA,NA,NA,NA,HM,NA,NA,NA,NA,NA,NA,NA,Heterokontophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia
Diatom,-1017035470,Navicula cari,Diatom_2012,BN,NA,NA,NA,NA,high,NA,MM,NALON,DO_100,FB,BM,NA,I,NA,Heterokontophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
SoftAlgae,-1015863930,Netrium cf digitus,SoftAlgae_2012,NA,No,NA,NI,NI,NI,NI,NA,NA,NA,NA,NA,CA,NA,No,Streptophyta,Zygnematophyceae,Zygnematales,Mesotaeniaceae,Netrium
Diatom,-1015664418,Planothidium lanceolatum,Diatom_2012,BN,NA,NA,NA,NA,high,high,NM,NAHON,DO_50,FB,AM,NA,E,NA,Heterokontophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Planothidium
SoftAlgae,-1012000421,Phormidium nigrum,SoftAlgae_2012,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CB,NA,No,Cyanobacteria,Cyanophyceae,Oscillatoriales,Phormidiaceae,Phormidium
Diatom,-1011623391,Aulacoseira granulata var angustissima,Diatom_2012,P,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,Heterokontophyta,Coscinodiscophyceae,Aulacoseiraceae,Aulacoseiraceae,Aulacoseira
SoftAlgae,-1007816062,Aphanothece cf nidulans,SoftAlgae_2012,NA,No,NA,NI,NI,NI,NI,NA,NA,NA,NA,NA,CB,NA,No,Cyanobacteria,Cyanophyceae,Chroococcales,Cyanobacteriaceae,Aphanothece
Diatom,-1007660175,Planothidium lanceolatoide,Diatom_2012,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,Heterokontophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Planothidium
Diatom,-1006501390,Navicula notha,Diatom_2012,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,Heterokontophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
SoftAlgae,-1005400695,Euastrum cf denticulatum,SoftAlgae_2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Streptophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Euastrum
Diatom,-1004568670,Aulacoseira crenulata,Diatom_2012,P,NA,NA,NA,NA,NA,NA,NM,NALON,DO_100,F,OS,NA,O,NA,Heterokontophyta,Coscinodiscophyceae,Aulacoseiraceae,Aulacoseiraceae,Aulacoseira
SoftAlgae,-1003058455,Geitleribactron periphyticum,SoftAlgae_2012,NA,No,NA,NI,NI,NI,NI,NA,NA,NA,NA,NA,CB,NA,No,Cyanobacteria,Cyanophyceae,Synechococcales,Chamaesiphonaceae,Geitleribactron
SoftAlgae,-1001556740,Cosmarium laeve,SoftAlgae_2012,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CA,NA,No,Streptophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Cosmarium
Diatom,-1000991537,Capartogramma crucicula,Diatom_2012,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,Heterokontophyta,Bacillariophyceae,Naviculales,Naviculaceae,Capartogramma
SoftAlgae,-998007338,Trachelomonas intermedia,SoftAlgae_2012,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EG,NA,No,Euglenozoa,Euglenophyceae,Euglenales,Euglenaceae,Trachelomonas
Diatom,-995700259,Surirella robusta,Diatom_2012,BN,NA,NA,NA,NA,NA,NA,HM,NA,DO_75,FB,BM,NA,I,NA,Heterokontophyta,Bacillariophyceae,Surirellales,Surirellaceae,Surirella
SoftAlgae,-994638014,Trachelomonas volvocina,SoftAlgae_2012,NA,No,NA,NI,NI,NI,NI,NA,NA,NA,NA,NA,EG,NA,No,Euglenozoa,Euglenophyceae,Euglenales,Euglenaceae,Trachelomonas
Diatom,-986305335,Surirella cf angusta SCCWRP BSL,Diatom_2012,BN,NA,NA,NA,NA,high,high,HM,NAHON,DO_75,FB,BM,NA,E,NA,Heterokontophyta,Bacillariophyceae,Surirellales,Surirellaceae,Surirella
Diatom,-984443564,Rhopalodia acuminata,Diatom_2012,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,Heterokontophyta,Bacillariophyceae,Rhopalodiales,Rhopalodiaceae,Rhopalodia
SoftAlgae,-982178680,Aphanothece cf stagnina,SoftAlgae_2012,NA,No,NI,NI,NI,low,NI,NA,NA,NA,NA,NA,CB,NA,No,Cyanobacteria,Cyanophyceae,Chroococcales,Cyanobacteriaceae,Aphanothece
Diatom,-979981525,Amphipleura,Diatom_2012,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,Heterokontophyta,Bacillariophyceae,Naviculales,Amphipleuraceae,Amphipleura
Diatom,-979678743,Fragilaria cf vaucheriae CAL,Diatom_2012,BN,NA,NA,NA,NA,low,NA,NM,NAHON,DO_50,FB,AM,NA,E,NA,Heterokontophyta,Fragilariophyceae,Fragilariales,Fragilariaceae,Fragilaria
SoftAlgae,-977156671,Monoraphidium cf arcuatum,SoftAlgae_2012,NA,No,NI,high,NI,NI,NI,NA,NA,NA,NA,NA,CL,NA,No,Chlorophyta,Chlorophyceae,Sphaeropleales,Ankistrodesmaceae,Monoraphidium
Diatom,-975229229,Encyonopsis cf falaisensis SWAMP JPK,Diatom_2012,BN,NA,NA,NA,NA,NA,NA,MM,NALON,DO_100,F,OS,NA,OM,NA,Heterokontophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonopsis
SoftAlgae,-974597064,Leptolyngbya cf notata,SoftAlgae_2012,NA,No,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,CB,NA,No,Cyanobacteria,Cyanophyceae,Pseudanabaenales,Pseudanabaenaceae,Leptolyngbya
Diatom,-972695741,Rhoicosphenia sp A SWAMP JPK,Diatom_2012,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,Heterokontophyta,Bacillariophyceae,Cymbellales,Rhoicospheniaceae,Rhoicosphenia
SoftAlgae,-971691073,Chroococcus turgidus,SoftAlgae_2012,NA,No,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,CB,NA,No,Cyanobacteria,Cyanophyceae,Chroococcales,Chroococcaceae,Chroococcus
SoftAlgae,-971377338,Quadrigula cf closterioides,SoftAlgae_2012,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CL,NA,No,Chlorophyta,Chlorophyceae,Sphaeropleales,Ankistrodesmaceae,Quadrigula
Diatom,-969572578,Cymbella cistula,Diatom_2012,BN,NA,NA,NA,NA,low,low,NM,NALON,DO_75,FB,BM,NA,E,NA,Heterokontophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
SoftAlgae,-969520791,Chamaesiphon cf starmachii,SoftAlgae_2012,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CB,NA,No,Cyanobacteria,Cyanophyceae,Synechococcales,Chamaesiphonaceae,Chamaesiphon
SoftAlgae,-965363132,Chlorella cf vulgaris,SoftAlgae_2012,NA,No,high,high,NI,NI,high,NA,NA,NA,NA,NA,CL,NA,No,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Chlorella
SoftAlgae,-963567912,Chantransia sp 5,SoftAlgae_2012,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RD,NA,No,Rhodophyta,Florideophyceae,Batrachospermales,Lemaneaceae,Chantransia
SoftAlgae,-961357630,Microthamnion cf kuetzingianum,SoftAlgae_2012,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CL,NA,No,Chlorophyta,Pleurastrophyceae,Pleurastrales,Pleurastraceae,Microthamnion
SoftAlgae,-961274399,Glaucospira sp 1,SoftAlgae_2012,NA,No,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,CB,NA,No,Cyanobacteria,Cyanophyceae,Chroococcales,Spirulinaceae,Glaucospira
Diatom,-960743798,Eolimna minima,Diatom_2012,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,Heterokontophyta,Bacillariophyceae,Naviculales,Naviculaceae,Eolimna
SoftAlgae,-958231804,Cyanophyceae 11,SoftAlgae_2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CB,NA,No,Cyanobacteria,Cyanophyceae,,,
SoftAlgae,-958137526,Radiofilum conjunctivum,SoftAlgae_2012,NA,No,NA,NI,NI,NI,NI,NA,NA,NA,NA,NA,CL,NA,No,Chlorophyta,Ulvophyceae,Ulotrichales,Gloeotilaceae,Radiofilum
SoftAlgae,-957727833,Euglena cf viridis,SoftAlgae_2012,NA,No,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,EG,NA,No,Euglenozoa,Euglenophyceae,Euglenales,Euglenaceae,Euglena
Diatom,-957649019,Bacillariophyceae 8,Diatom_2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Heterokontophyta,Bacillariophyceae,,,
SoftAlgae,-955569723,Vaucheria racemosa,SoftAlgae_2012,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OC,NA,No,Heterokontophyta,Xanthophyceae,Vaucheriales,Vaucheriaceae,Vaucheria
SoftAlgae,-953095682,Cyanophyceae 7,SoftAlgae_2012,NA,No,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,CB,NA,No,Cyanobacteria,Cyanophyceae,,,
Diatom,-952873095,Navicula sp B SWAMP BSL,Diatom_2012,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,Heterokontophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Diatom,-952850016,Navicula globulifera,Diatom_2012,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,Heterokontophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
SoftAlgae,-952599559,Hariotina cf reticulata,SoftAlgae_2012,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CL,NA,No,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Coelastrum
SoftAlgae,-952013272,Hapalosiphon sp 1,SoftAlgae_2012,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CB,NA,No,Cyanobacteria,Cyanophyceae,Nostocales,Hapalosiphonaceae,Hapalosiphon
Diatom,-949889505,Navicula hasta,Diatom_2012,BN,NA,NA,NA,NA,low,NA,MM,NA,NA,NA,NA,NA,NA,NA,Heterokontophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Diatom,-949679312,Achnanthes coarctata,Diatom_2012,BN,NA,NA,NA,NA,NA,NA,NM,NALON,DO_100,F,OS,NA,OM,NA,Heterokontophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes
SoftAlgae,-948688220,Cosmarium punctulatum,SoftAlgae_2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Streptophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Cosmarium
SoftAlgae,-942023221,Heteroleibleinia cf kossinskajae,SoftAlgae_2012,NA,No,NI,high,NRF,NI,high,NA,NA,NA,NA,NA,CB,NA,No,Cyanobacteria,Cyanophyceae,Pseudanabaenales,Pseudanabaenaceae,Heteroleibleinia
SoftAlgae,-940825073,Cosmarium praecisum var suecicum,SoftAlgae_2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Streptophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Cosmarium
Diatom,-940737449,Amphora sp 3 SCCWRP JPK,Diatom_2012,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,Heterokontophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora
Diatom,-938948708,Gyrosigma nodiferum,Diatom_2012,BN,NA,NA,NA,NA,NA,NA,HM,NA,NA,NA,NA,NA,NA,NA,Heterokontophyta,Bacillariophyceae,Naviculales,Pleurosigmataceae,Gyrosigma
Diatom,-936778334,Luticola,Diatom_2012,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,Heterokontophyta,Bacillariophyceae,Naviculales,Diadesmidaceae,Luticola
Diatom,-935544532,Gomphonema brebissonii,Diatom_2012,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,Heterokontophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,Gomphonema
Diatom,-934663876,Diatoma vulgaris var linearis,Diatom_2012,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,Heterokontophyta,Fragilariophyceae,Fragilariales,Fragilariaceae,Diatoma
SoftAlgae,-932422305,Phormidium cortianum,SoftAlgae_2012,NA,No,NI,NI,NI,NI,high,NA,NA,NA,NA,NA,CB,NA,No,Cyanobacteria,Cyanophyceae,Oscillatoriales,Phormidiaceae,Phormidium
SoftAlgae,-926612459,Chlorosaccus fluidus,SoftAlgae_2012,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OC,NA,No,Heterokontophyta,Xanthophyceae,Mischococcales,Gloeobotrydaceae,Chlorosaccus
SoftAlgae,-925726416,Capsosira cf brebissonii,SoftAlgae_2012,NA,Yes,NA,NI,NI,NI,NI,NA,NA,NA,NA,NA,CB,NA,No,Cyanobacteria,Cyanophyceae,Nostocales,Stigonemataceae,Capsosira
Diatom,-923912199,Navicula aurora,Diatom_2012,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,Heterokontophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
SoftAlgae,-916831677,Paralemanea catenata,SoftAlgae_2012,NA,No,NI,NI,NI,NI,low,NA,NA,NA,NA,NA,RD,NA,No,Rhodophyta,Florideophyceae,Batrachospermales,Lemaneaceae,Paralemanea
SoftAlgae,-916750510,Chlamydomonas sp 3,SoftAlgae_2012,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CL,NA,No,Chlorophyta,Chlorophyceae,Volvocales,Chlamydomonadaceae,Chlamydomonas
SoftAlgae,-914718687,Cyanothece cf halobia,SoftAlgae_2012,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CB,NA,No,Cyanobacteria,Cyanophyceae,Chroococcales,Cyanobacteriaceae,Cyanothece
Diatom,-912049330,Terpsinoe,Diatom_2012,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,Heterokontophyta,Coscinodiscophyceae,Biddulphiales,Biddulphiaceae,Terpsinoe
Diatom,-912028752,Fallacia tenera,Diatom_2012,BN,NA,NA,NA,NA,NA,high,MM,NA,NA,NA,NA,NA,NA,NA,Heterokontophyta,Bacillariophyceae,Naviculales,Sellaphoraceae,Fallacia
SoftAlgae,-911717691,Pediastrum boryanum,SoftAlgae_2012,NA,No,NI,high,NRF,high,NI,NA,NA,NA,NA,NA,CL,NA,No,Chlorophyta,Chlorophyceae,Sphaeropleales,Hydrodictyaceae,Pediastrum
Diatom,-909180314,Rossithidium duthiei,Diatom_2012,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,Heterokontophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Rossthidium
Diatom,-908915841,Krasskella,Diatom_2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Heterokontophyta,Bacillariophyceae,Naviculales,Naviculaceae,Krasskella
Diatom,-907637890,Cymbopleura hauckii,Diatom_2012,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,Heterokontophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbopleura
Diatom,-907506930,Gomphonema subtile,Diatom_2012,BN,NA,NA,NA,NA,NA,NA,NM,NALON,DO_100,F,OS,NA,OM,NA,Heterokontophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,Gomphonema
Diatom,-906120814,Stephanodiscus minutulus,Diatom_2012,P,NA,NA,NA,NA,high,NA,NM,NAHON,DO_50,FB,AM,NA,PH,NA,Heterokontophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaceae,Stephanodiscus
Diatom,-905365962,Kolbesia suchlandtii,Diatom_2012,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,Heterokontophyta,Bacillariophyceae,Achanthales,Achnanthidiaceae,Kolbesia
Diatom,-904944788,Staurosirella pinnata,Diatom_2012,BN,NA,NA,NA,NA,low,high,NM,NAHON,DO_100,FB,BM,NA,I,NA,Heterokontophyta,Fragilariophyceae,Fragilariales,Fragilariaceae,Staurosirella
Diatom,-901215729,Encyonopsis falaisensis,Diatom_2012,BN,NA,NA,NA,NA,NA,NA,MM,NALON,DO_100,F,OS,NA,OM,NA,Heterokontophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonopsis
SoftAlgae,-899566717,Stigeoclonium nanum,SoftAlgae_2012,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CL,NA,No,Chlorophyta,Chlorophyceae,Chaetophorales,Chaetophoraceae,Stigeoclonium
SoftAlgae,-899378327,Chroococcus sp 1,SoftAlgae_2012,NA,No,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,CB,NA,No,Cyanobacteria,Cyanophyceae,Chroococcales,Chroococcaceae,Chroococcus
Diatom,-899063958,Cymbopleura incerta,Diatom_2012,BN,NA,NA,NA,NA,NA,NA,NM,NALON,DO_100,F,OS,NA,O,NA,Heterokontophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbopleura
Diatom,-894747424,Navicula veneta,Diatom_2012,BN,NA,NA,NA,NA,high,high,MM,NAHON,DO_30,BF,AMPS,NA,E,NA,Heterokontophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Diatom,-893361303,Achnanthes taeniata,Diatom_2012,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,Heterokontophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes
Diatom,-892027057,Gomphonema sp 15 SWAMP JPK,Diatom_2012,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,Heterokontophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,Gomphonema
Diatom,-889800149,Sellaphora minima,Diatom_2012,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,Heterokontophyta,Bacillariophyceae,Naviculales,Sellaphoraceae,Sellaphora
Diatom,-889094483,Gomphonema gracile,Diatom_2012,BN,NA,NA,NA,NA,low,low,NM,NALON,DO_100,FB,OS,NA,M,NA,Heterokontophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,Gomphonema
SoftAlgae,-888180802,Calothrix brevissima,SoftAlgae_2012,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CB,NA,No,Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,Calothrix
Diatom,-887408762,Cymatopleura elliptica,Diatom_2012,BN,NA,NA,NA,NA,NA,NA,HM,NAHON,DO_75,BF,BM,NA,E,NA,Heterokontophyta,Bacillariophyceae,Surirellales,Surirellaceae,Cymatopleura
SoftAlgae,-881412251,Hapalosiphon cf flexuosus,SoftAlgae_2012,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CB,NA,No,Cyanobacteria,Cyanophyceae,Nostocales,Hapalosiphonaceae,Hapalosiphon
Diatom,-879607447,Gomphonema sp G SWAMP EWT,Diatom_2012,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,Heterokontophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,Gomphonema
SoftAlgae,-879522373,Chroomonadaceae 2,SoftAlgae_2012,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CR,NA,No,Cryptophyta,Cryptophyceae,Pyrenomonadales,Chroomonadaceae,
Diatom,-878956942,Reimeria sinuata,Diatom_2012,BN,NA,NA,NA,NA,low,low,NM,NAHON,DO_100,FB,BM,NA,M,NA,Heterokontophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,Reimeria
SoftAlgae,-877482199,Cosmarium sp 3,SoftAlgae_2012,NA,No,NA,NI,NI,NI,NI,NA,NA,NA,NA,NA,CA,NA,No,Streptophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Cosmarium
SoftAlgae,-876255570,Spirogyra sp 4,SoftAlgae_2012,NA,No,NI,NI,NI,NI,high,NA,NA,NA,NA,NA,CA,NA,Yes,Streptophyta,Zygnematophyceae,Zygnematales,Zygnemataceae,Spirogyra
Diatom,-873552529,Navicula sp 1 SCCWRP MCB,Diatom_2012,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,Heterokontophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
